id,instrument,code,name,position,row,violin_1,violin_2,alto,cello,bass,flute,oboe,clarinet,bassoon,horn,trumpet,trombone,tuba,percussion,harp,piano,column
1019,Contrebasse,Rav1,La Valse (RAVEL) - Configuration 1,N5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,0,N
1020,Contrebasse,Rav2,La Valse (RAVEL) - Configuration 2,R16,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,R
1021,Contrebasse,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,O7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,O
1022,Contrebasse,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,F10,10,3,3,3,3,4,3,3,3,3,5,3,3,3,3,3,3,F
1023,Contrebasse,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,N8,8,3,3,3,3,3,3,3,3,3,3,5,4,4,5,4,3,N
1035,Contrebasse,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,I13,13,3,3,2,2,3,3,3,3,3,3,3,0,0,3,0,0,I
1036,Contrebasse,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,O12,12,3,3,3,3,3,3,3,3,3,3,3,0,0,5,0,0,O
1037,Contrebasse,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,J9,9,2,2,2,2,2,2,2,2,2,4,3,0,0,3,0,0,J
1040,Contrebasse,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,G16,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,G
1041,Contrebasse,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,J9,9,3,3,3,2,3,3,3,3,3,5,3,3,3,3,0,0,J
1042,Contrebasse,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,I12,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,I
1043,Contrebasse,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,K10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,K
1044,Contrebasse,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,I6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,I
1045,Contrebasse,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,K10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,K
1046,Contrebasse,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,F11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,F
1047,Contrebasse,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,I9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,I
1048,Contrebasse,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,H8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,H
