id,instrument,code,name,violin_1,violin_2,alto,cello,bass,flute,oboe,clarinet,bassoon,horn,trumpet,trombone,tuba,percusssion,harp,piano,column,row
539,Cor,Rav2,La Valse (RAVEL) - Configuration 2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,0,M,3
543,Cor,Moz1,Symphonie n°41 (MOZART) - Configuration 1,4,4,3,3,1,2,2,0,2,2,3,0,0,5,0,0,I,2
544,Cor,Moz2,Symphonie n°41 (MOZART) - Configuration 2,3,3,2,2,1,2,2,0,3,3,3,0,0,5,0,0,H,2
545,Cor,Moz3,Symphonie n°41 (MOZART) - Configuration 3,4,4,2,3,1,2,2,0,3,3,3,0,0,5,0,0,G,2
546,Cor,Moz4,Symphonie n°41 (MOZART) - Configuration 4,3,3,2,2,2,2,2,0,3,3,3,0,0,3,0,0,O,3
547,Cor,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,4,4,2,2,2,3,3,2,2,3,3,0,0,3,0,0,N,3
548,Cor,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,3,3,1,1,1,3,3,2,2,2,2,0,0,5,0,0,M,3
549,Cor,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,4,4,3,3,3,2,2,2,2,4,3,0,0,5,0,0,L,3
550,Cor,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,4,4,3,3,2,2,2,2,2,3,2,0,0,4,0,0,B,1
566,Cor,Rav1,La Valse (RAVEL) - Configuration 1,4,4,2,2,1,2,2,1,2,3,4,4,2,5,1,0,B,1
567,Cor,Rav2,La Valse (RAVEL) - Configuration 2,4,4,2,2,1,3,3,2,2,3,4,4,2,4,1,0,A,1
571,Cor,Moz1,Symphonie n°41 (MOZART) - Configuration 1,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,B,1
572,Cor,Moz2,Symphonie n°41 (MOZART) - Configuration 2,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,G,2
573,Cor,Moz3,Symphonie n°41 (MOZART) - Configuration 3,4,4,4,4,4,4,4,0,4,4,4,0,0,4,0,0,L,3
574,Cor,Moz4,Symphonie n°41 (MOZART) - Configuration 4,5,5,5,5,5,5,5,0,5,5,5,0,0,5,0,0,K,3
575,Cor,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,2,2,1,2,2,2,1,1,1,1,1,0,0,2,0,0,B,1
576,Cor,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,3,3,3,3,3,3,4,3,3,3,3,0,0,3,0,0,B,1
577,Cor,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,4,4,4,4,4,4,4,4,4,4,4,0,0,3,0,0,G,2
578,Cor,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,3,3,3,3,5,2,2,2,2,3,3,0,0,2,0,0,K,3
579,Cor,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,3,3,3,3,3,3,3,3,3,2,2,0,0,1,0,0,B,1
580,Cor,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,4,4,4,4,4,4,4,4,4,3,3,0,0,2,0,0,M,3
